"금룡",10
"금릉",1755
"금맹",18
"금명",15
"금밀",9
"금봉",6
"금산",16234
"금섭",5
"금성",3474
"금수",8
"금시",14
"금실",5
"금아",23
"금악",10
"금암",36
"금양",38
"금영",14494
"금왕",6
"금용",8
"금원",30
"금융",6
"금전",6
"금제",9
"금주",67
"금천",69
"금촌",44
"금택",10
"금평",13
"금하",15
"금한",9
"금해",38
"금형",8
"금화",884
"금흥",29
"기계",11
"기명",28
"기흥",10
"김녕",290092
"김능",10
"김령",1494
"김릉",20
"김명",5
"김산",12
"김성",16
"김식",12
"김양",7
"김연",6
"김영",29855
"김용",11
"김원",11
"김재",10
"김제",3541
"김천",202
"김포",310
"김하",6
"김해",4456700
"김화",737
"김흥",56
"나주",51060
"낙안",4174
"낙원",9
"낙주",102
"남보",21
"남산",184
"남성",6
"남양",2283
"남양주",15
"남원",873
"남평",369
"남포",540
"남해",861
"남향",13
"녕산",6
"녕암",5
"노산",22
"노성",18
"논산",40
"뇌송",6
"능성",458
"능주",216
"능천",32
"니산",8
"다나",6
"단성",64
"단양",254
"단천",12
"단흥",32
"달성",352
"담양",119
"당산",15
"당악",5400
"당약",8
"당옥",5
"당진",58
"당하",8
"당학",280
"당해",19
"당확",12
"대구",2397
"대덕",9
"대동",13
"대명",42
"대산",6
"대성",11
"대소",5
"대연",19
"대완",13
"대원",48
"대인",8
"대전",669
"대흥",34
"덕기",9
"덕명",13
"덕산",223
"덕선",6
"덕수",3438
"덕양",12
"덕영",42
"덕주",24
"덕천",29
"덕촌",9
"도강",31496
"도경",7
"도광",1260
"도선",20
"도안",6
"도원",28
"도천",6
"독산",13
"동녕",25
"동두천",30
"동래",500
"동민",18
"동복",14
"동산",21
"동선",14
"동성",6
"동주",36
"동진",16
"동촌",10
"동해",13
"두동",67
"등주",161
"라주",144
"락안",185
"람포",34
"령광",453
"령산",16
"례안",189
"릉성",27
"릉주",15
"마산",29
"만경",80
"만항",70
"망경",11
"매출",9
"맹덕",9
"맹동",19
"면산",73
"면성",33
"명성",23
"모평",48
"목산",25
"목성",6
"목포",39
"무래",5
"무산",21
"무성",21
"무송",79
"무안",339
"무장",2895
"무전",9
"무정",93
"무주",2422
"무진",7
"무창",8
"문경",21
"문단",7
"문부",5
"문산",26
"문성",78
"문소",8324
"문용",15
"문음",8
"문조",77
"문주",229
"문천",21
"문하",40
"문혜",9
"문화",975
"미산",5
"미성",6
"민소",12
"밀량",5
"밀성",16
"밀양",9200
"박강",7
"반남",57
"반성",20
"반주",5
"발남",5
"방어",6
"백곡",152
"백석",6
"백주",17
"백천",1490
"번남",5
"벌영",10
"법원",8
"벽동",5
"벽성",11
"벽진",22
"보령",174
"보성",73
"보안",34
"보영",14
"보은",256
"보주",10
"본성",5
"봉산",307
"봉안",13
"봉양",8
"봉주",20
"봉춘",6
"봉화",9
"부녕",2397
"부도",6
"부동",15
"부령",14386
"부산",165
"부상",14
"부성",9
"부안",48961
"부여",505
"부영",3413
"부유",8
"부천",50
"부평",576
"분덕",11
"분성",16282
"분의",5
"불명",5
"불상",569
"불양",5
"비안",16
"빈성",35
"사성",15
"사주",52
"사창",8
"사천",5677
"사하",6
"삭녕",61
"삭령",6
"삭영",7
"산성",26
"산양",10
"산청",21
"삼가",145
"삼능",8
"삼등",24
"삼릉",47
"삼보",337
"삼산",12
"삼선",13
"삼섭",1182
"삼성",5
"삼양",41
"삼척",92671
"삼천",5
"삼협",11
"삼화",8
"상낙",41
"상남",7
"상락",902
"상북",7
"상산",91558
"상상",23
"상악",23
"상양",17
"상용",6
"상원",743
"상주",5503
"상천",12
"서광",20
"서금",6
"서산",337
"서생",7
"서성",9
"서아",7
"서울",16
"서원",13
"서응",25
"서전",21
"서천",47
"서촉",7
"서하",269
"서해",68
"서흥",36402
"석산",8
"석성",25
"선녕",8
"선령",6
"선산",138819
"선상",7071
"선선",11
"선성",3261
"선영",14
"선주",6
"선천",18
"설산",13
"설상",20
"설성",2162
"설송",15
"성남",295
"성녕",11
"성동",24
"성산",674
"성성",15
"성안",5
"성영",26
"성주",1787
"성창",192
"성천",61
"성평",36
"세종",17
"속초",14
"솔성",12
"송곡",5
"송도",49
"송산",22
"송악",5
"송파",33
"송평",14
"쇠천",6
"수로",24
"수산",86
"수성",105
"수안",5540
"수완",6
"수원",21060
"수주",95
"수천",8
"수해",6
"순안",60
"순주",14
"순창",123
"순천",62916
"순한",6
"순행",7
"순흥",382
"술장",14
"승주",31
"승천",6
"승평",948
"시안",5
"시흥",544
"신길",5
"신부",9
"신상",11
"신안",30
"신정",6
"신창",17
"신천",57
"신평",107
"심평",5
"아산",377
"아성",8
"아악",10
"아양",9
"아주",68
"악안",121
"악양",41
